Smiles,Source
COc1cc(cc2OCCOc12)c3cnc[nH]3,Enamine
CCCC(CCC)c1cnc[nH]1,Enamine
C1Cc2cc(sc2C1)c3cnc[nH]3,Enamine
Cn1nc(cc1c2cnc[nH]2)C(C)(C)C,Enamine
CN1CCOc2ccc(cc12)c3cnc[nH]3,Enamine
COc1cc(F)c(c(F)c1)c2cnc[nH]2,Enamine
c1ccc2sc(nc2c1)c3cnc[nH]3,Enamine
COc1cccc(C)c1c2cnc[nH]2,Enamine
CC(C)Oc1cccc(n1)c2cnc[nH]2,Enamine
C1Oc2ccccc2CC1c3cnc[nH]3,Enamine
CC1(C)CCC(CC1)c2cnc[nH]2,Enamine
Fc1ccc(cc1)c2[nH]ncc2c3cnc[nH]3,Enamine
CCC1(CCC1)c2cnc[nH]2,Enamine
CC(C)N(C)CCc1cnc[nH]1,Enamine
CC(c1ccc(F)cc1)c2cnc[nH]2,Enamine
C1COC=C(C1)c2cnc[nH]2,Enamine
Cc1cnn(C)c1c2cnc[nH]2,Enamine
COc1ccnc(c1)c2cnc[nH]2,Enamine
CC(C)(C#C)c1ocnc1,Enamine
CC1(CCOCC1)c2cnc[nH]2,Enamine
C1CSC(C1)c2cnc[nH]2,Enamine
CN(C)Cc1cccc(c1)c2cnc[nH]2,Enamine
CCOC(=O)c1nn(C)cc1c2cnc[nH]2,Enamine
CC(C)Cn1cc(cn1)c2cnc[nH]2,Enamine
CCn1ncnc1c2cnc[nH]2,Enamine
C1Cc2cccc(c2O1)c3cnc[nH]3,Enamine
CC(C)Cn1ccc(n1)c2cnc[nH]2,Enamine
CC(C)(C#C)c1cscn1,Enamine
c1cc(ncc1c2cnc[nH]2)n3cncn3,Enamine
Cc1ccc(F)c(c1F)c2cnc[nH]2,Enamine
CC(=O)C=Cc1ocnc1,Enamine
COCc1cccc(c1)c2cnc[nH]2,Enamine
CN1CCCC1Cc2cnc[nH]2,Enamine
Cc1nc(cs1)c2cnc[nH]2,Enamine
CCCC(C)c1cnc[nH]1,Enamine
c1ncc([nH]1)c2csnn2,Enamine
C1CCN(CC1)c2ncccc2c3cnc[nH]3,Enamine
C1COCC(C1)c2cnc[nH]2,Enamine
Cc1nn(C)c(C)c1c2cnc[nH]2,Enamine
Cn1nccc1c2cnc[nH]2,Enamine
COc1c(C)cccc1c2cnc[nH]2,Enamine
CN1CCCCC1c2cnc[nH]2,Enamine
C1CCN(C1)c2ccc(cc2)c3cnc[nH]3,Enamine
Cc1cccc(c1F)c2cnc[nH]2,Enamine
CCn1nccc1c2cnc[nH]2,Enamine
COC(=O)c1ccc(s1)c2cnc[nH]2,Enamine
COc1ccc(c2cnc[nH]2)c3ccccc13,Enamine
Cn1cc(nn1)c2cnc[nH]2,Enamine
CCC(OC)c1cnc[nH]1,Enamine
COC(=O)c1cc(c2cnc[nH]2)n(C)n1,Enamine
Fc1ccnc(c1)c2cnc[nH]2,Enamine
C1Oc2ccccc2OC1c3cnc[nH]3,Enamine
Cc1cc(on1)c2cnc[nH]2,Enamine
CCn1nc(C)c(c1C)c2cnc[nH]2,Enamine
Fc1cccnc1c2cnc[nH]2,Enamine
CCOc1ccccc1c2cnc[nH]2,Enamine
COc1cc(ccc1C)c2cnc[nH]2,Enamine
Cc1cc(C)c(cc1C)c2cnc[nH]2,Enamine
C1CC(CO1)c2cnc[nH]2,Enamine
CC(C)Oc1ccc(cc1)c2cnc[nH]2,Enamine
COC(=O)c1ccccc1c2cnc[nH]2,Enamine
Fc1cc(F)c(Cc2cnc[nH]2)cc1F,Enamine
COc1ccc(F)c(OC)c1c2cnc[nH]2,Enamine
CC(C)(C)OCc1cnc[nH]1,Enamine
Cc1onc(C)c1c2cnc[nH]2,Enamine
CCOC(C)c1cnc[nH]1,Enamine
COc1cc(cc(OC)c1C)c2cnc[nH]2,Enamine
CC(C)n1nccc1c2cnc[nH]2,Enamine
COc1ccnc(OC)c1c2cnc[nH]2,Enamine
Cc1cnccc1c2cnc[nH]2,Enamine
Fc1cc(F)c(cc1F)c2cnc[nH]2,Enamine
CC1OCCC1c2cnc[nH]2,Enamine
Cn1ccnc1c2cnc[nH]2,Enamine
Cc1c(F)cccc1c2cnc[nH]2,Enamine
COc1cc(F)c(F)cc1c2cnc[nH]2,Enamine
Fc1c(F)c(F)c(c(F)c1F)c2cnc[nH]2,Enamine
COc1c(F)cc(F)cc1c2cnc[nH]2,Enamine
COc1c(F)c(F)ccc1c2cnc[nH]2,Enamine
Cc1cc(c2cnc[nH]2)c3ccccc3n1,Enamine
Cc1csc(c1)c2cnc[nH]2,Enamine
CCCC=Cc1cnc[nH]1,Enamine
Cn1nc2ccccc2c1c3cnc[nH]3,Enamine
COc1cc(F)ccc1c2cnc[nH]2,Enamine
COc1c(c(C)nn1C)c2cnc[nH]2,Enamine
Fc1cc(F)c(F)c(c1F)c2cnc[nH]2,Enamine
COC(C)(C)Cc1cnc[nH]1,Enamine
Fc1cc(F)c(c(F)c1)c2cnc[nH]2,Enamine
CC(C)n1cc(cn1)c2cnc[nH]2,Enamine
c1ccc2sc(cc2c1)c3cnc[nH]3,Enamine
COc1cc(ccc1F)c2cnc[nH]2,Enamine
CCC(CC)c1cnc[nH]1,Enamine
Fc1cncc(c1)c2cnc[nH]2,Enamine
COc1ccc2cc(ccc2c1)c3cnc[nH]3,Enamine
Cn1nc(c2cnc[nH]2)c3ccccc13,Enamine
CC1(C)C(c2cnc[nH]2)C1(C)C,Enamine
c1ccc2c(csc2c1)c3cnc[nH]3,Enamine
Cc1ccc(c2cnc[nH]2)c3ccccc13,Enamine
Cc1ccc(nc1)c2cnc[nH]2,Enamine
CCc1ccccc1c2cnc[nH]2,Enamine
Cc1cccc(n1)c2cnc[nH]2,Enamine
Cc1[nH]cnc1CCCS,Enamine
CC(=O)CCc1nc[nH]c1C,Enamine
CC(=O)C=Cc1[nH]cnc1C,Enamine
Cc1[nH]cnc1CCC#C,Enamine
